Mois;Injections nettes RPT Nucléaire (MWh);Injections nettes RPT Thermique à combustible fossile (MWh);Injections nettes RPT  Hydraulique (MWh);Injections nettes RPT  Eolien (MWh);Injections nettes RPT  Solaire (MWh);Injections nettes RPT  Bioénergies (MWh);Injections nettes RPT  NA (MWh);Injections nettes RPT  NR (MWh);Soutirages nettes RPD (MWh);Soutirages bruts des clients directs (MWh);Energie soutirée par le pompage (MWh);Solde des échanges physiques (MWh);Energie soutirée par le stockage (MWh);Pertes sur le réseau de RTE (MWh)
2017-02;33689348.332999;4204040.13867;3944853.421143;163359.761499;38758.605;100471.239166;952890.414333;75117.61600000001;32132675.418293;4918561.187501;626408.088333;3541292.978;0.0;1949901.856683007
2017-01;40491546.163667;6094797.858334;4788393.054727;156474.458831;31836.675;121955.1495;533063.058334;88476.54999999999;45208560.543965;5342187.896337;557978.745667;-693374.3300000003;0.0;1891190.11242396
2016-12;36648669.139;5397267.740336;4093463.531868;95004.406;27696.109;116896.763;402068.311833;77826.00399999999;39519829.7797049;5113867.175669;525927.592333;84522.3599999998;0.0;1614745.097330138
2016-11;31148968.325;4801865.066668;3806735.421972;141560.647;29774.186;120646.444;830503.693833;72949.086;32625188.123813;5298951.503331;575773.521667;644235.8130000001;0.0;1808853.908662007
2016-10;29019544.167;4316118.556;2824078.331528;86747.119;57154.926;106058.09;495767.25333;1723.777;28736656.816432;5502749.021492;595444.557333;750603.3489999996;0.0;1321738.475600954
2016-09;26478460.131;3531095.93;3150065.645485;74993.002;80913.095;112322.199;388756.3105;598.0330000000001;24015774.48057;5455574.768502;473030.034;2734435.3710000003;0.0;1138389.691912994
2016-08;27113130.645;1573057.398;3601524.132729;84960.562;107334.048;111880.009;483974.115575;456.025;22833890.556875;5076375.336498;520026.334667;3404587.715000001;0.0;1241436.992264002
2016-07;28342361.051;1417439.248;4894280.725024;84612.711;109594.754;117748.681;421322.131335;1957.893;23919193.644071;5535654.235003;465273.486333;4290540.391000001;0.0;1178655.437951993
2016-06;28639486.961;1103021.682;6543417.257237;85689.598;89217.6310000001;74681.538;515468.493837;-6.785;23435282.907586;5199347.574172;539089.549667;6645675.7069999995;0.0;1231580.63764897
2016-05;29439335.5;997299.978;5852744.204087;129912.889;93755.531;97760.734;727366.384168;994.3600000000001;24626779.328514;5335315.12716399;618837.298;5264936.661;0.0;1493301.165577006
2016-04;31057041.779;1960075.3;5790935.948376;118457.348;78493.882;103984.366;677785.567499;1792.4269999999997;28756672.096493;5322088.366505;401030.169;3720099.647;0.0;1588676.338877001
2016-03;37177149.961;2629676.717667;5895628.549944;151771.371;63855.826;116149.146;907641.815025;62950.469999999994;34900459.0264411;5360600.154671;539056.871;4244814.821;0.0;1959892.983523953
2016-02;37323009.399;1929899.078334;6278947.248011;175455.864;38380.499;105268.93;1153932.747997;59398.392000000014;34027813.8666281;5053989.98866699;603804.576;4950991.361;0.0;2427692.366046959
2016-01;41588497.132;2931410.645001;5069882.606697;150974.453;24876.347;98141.83;1027123.486333;69602.484;37414160.7513979;5421704.648001;755121.73;5104005.914;0.0;2265515.940632076
2015-12;40291619.544;2437881.148334;3318858.726635;124689.763;28538.313;102118.282;881051.836671;0.0;33039456.7565921;5040002.63199701;753097.379333;6339931.749000001;0.0;2012269.096717946
2015-11;35678647.455;3025748.376667;3238206.265905;153048.922;34272.086;93650.303;1011011.158666;0.0;29450544.738291;5280716.804497;546346.636667;5942667.924;0.0;2014308.463783008
2015-10;34485949.151;3071832.431;3575491.573829;83076.695;40281.743;76676.364;411763.979832;0.0;29508001.778011;5595876.435005;454147.494;4888666.726000001;0.0;1298379.504645003
